Subject,ProgrammingStyle,Comprehension,ResponseTime,Algorithm,Flag,Correctness,
638,R,BU,296,BinarySearch,,TRUE,
712,R,BU,432,BinarySearch,,TRUE,
750,R,BU,760,BinarySearch,,TRUE,
784,R,BU,438,BinarySearch,,TRUE,
841,R,BU,123,BinarySearch,,TRUE,
857,R,BU,467,BinarySearch,,TRUE,
938,R,BU,575,BinarySearch,,TRUE,
704,R,BU,255,BubbleSort,,TRUE,
715,R,BU,255,BubbleSort,,TRUE,
733,R,BU,366,BubbleSort,,TRUE,
748,R,BU,205,BubbleSort,,TRUE,
756,R,BU,256,BubbleSort,,TRUE,
780,R,BU,150,BubbleSort,,TRUE,
813,R,BU,198,BubbleSort,,TRUE,
815,R,BU,729,BubbleSort,,TRUE,
831,R,BU,110,BubbleSort,,TRUE,
875,R,BU,284,BubbleSort,,TRUE,
900,R,BU,143,BubbleSort,,TRUE,
939,R,BU,257,BubbleSort,,TRUE,
945,R,BU,179,BubbleSort,,TRUE,
631,R,BU,191,Factorial,,TRUE,
699,R,BU,76,Factorial,,TRUE,
716,R,BU,109,Factorial,,TRUE,
727,R,BU,176,Factorial,,TRUE,
734,R,BU,30,Factorial,,TRUE,
737,R,BU,28,Factorial,,TRUE,
761,R,BU,202,Factorial,,TRUE,
773,R,BU,74,Factorial,,TRUE,
774,R,BU,82,Factorial,,TRUE,
794,R,BU,15,Factorial,,TRUE,
799,R,BU,43,Factorial,,TRUE,
805,R,BU,117,Factorial,,TRUE,
817,R,BU,144,Factorial,,TRUE,
825,R,BU,87,Factorial,,TRUE,
828,R,BU,70,Factorial,,TRUE,
837,R,BU,39,Factorial,,TRUE,
859,R,BU,55,Factorial,,TRUE,
860,R,BU,61,Factorial,,TRUE,
883,R,BU,1287,Factorial,,TRUE,
886,R,BU,90,Factorial,,TRUE,
894,R,BU,31,Factorial,,TRUE,
936,R,BU,78,Factorial,,TRUE,
946,R,BU,81,Factorial,,TRUE,
958,R,BU,25,Factorial,,TRUE,
653,R,BU,161,Fibonacci,,TRUE,
707,R,BU,52,Fibonacci,,TRUE,
730,R,BU,184,Fibonacci,,TRUE,
735,R,BU,149,Fibonacci,,TRUE,
740,R,BU,145,Fibonacci,,TRUE,
803,R,BU,65,Fibonacci,,TRUE,
804,R,BU,359,Fibonacci,,TRUE,
851,R,BU,50,Fibonacci,,TRUE,
853,R,BU,85,Fibonacci,,TRUE,
867,R,BU,73,Fibonacci,,TRUE,
888,R,BU,314,Fibonacci,,TRUE,
898,R,BU,167,Fibonacci,,TRUE,
942,R,BU,537,Fibonacci,,TRUE,
653,R,BU,147,IntegerBinary,,TRUE,
735,R,BU,263,IntegerBinary,,TRUE,
744,R,BU,126,IntegerBinary,,TRUE,
803,R,BU,74,IntegerBinary,,TRUE,
888,R,BU,326,IntegerBinary,,TRUE,
941,R,BU,456,IntegerBinary,,TRUE,
942,R,BU,1554,IntegerBinary,,TRUE,
704,R,BU,523,MultiplyMatrix,,TRUE,
832,R,BU,454,MultiplyMatrix,,TRUE,
875,R,BU,667,MultiplyMatrix,,TRUE,
939,R,BU,556,MultiplyMatrix,,TRUE,
837,R,BU,141,PrimeFactors,,TRUE,
842,R,BU,47,PrimeFactors,,TRUE,
886,R,BU,219,PrimeFactors,,TRUE,
946,R,BU,162,PrimeFactors,,TRUE,
696,R,BU,238,ReverseString,,TRUE,
709,R,BU,147,ReverseString,,TRUE,
712,R,BU,567,ReverseString,,TRUE,
732,R,BU,108,ReverseString,,TRUE,
736,R,BU,306,ReverseString,,TRUE,
749,R,BU,226,ReverseString,,TRUE,
